"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 14:09:12 GMT 2023","Tue May 02 14:09:13 GMT 2023","826","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 14:09:13 GMT 2023","Tue May 02 14:09:13 GMT 2023","658","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"passed","Tue May 02 14:08:53 GMT 2023","Tue May 02 14:08:55 GMT 2023","2037","","AboutTest","","AboutTest","getNamesTest","Dolgozók nevének ellenőrzése",""
"passed","Tue May 02 14:08:56 GMT 2023","Tue May 02 14:08:59 GMT 2023","2786","","PortfolioTest","","PortfolioTest","testGetProducts","Termék nevek ellenőrzése",""
"passed","Tue May 02 14:09:18 GMT 2023","Tue May 02 14:09:20 GMT 2023","1437","","ButtonsTest","","ButtonsTest","testContactButton","Get in touch button test",""
"failed","Tue May 02 14:09:09 GMT 2023","Tue May 02 14:09:11 GMT 2023","2244","","ProfileTest","","ProfileTest","testModify","A profil adatainak módosítása,beviteli mezők tesztelése",""
"passed","Tue May 02 14:09:15 GMT 2023","Tue May 02 14:09:17 GMT 2023","1363","","ButtonsTest","","ButtonsTest","testBlogButton","Blog button test",""
"passed","Tue May 02 14:09:25 GMT 2023","Tue May 02 14:09:28 GMT 2023","3478","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"passed","Tue May 02 14:09:05 GMT 2023","Tue May 02 14:09:07 GMT 2023","2269","","ProfileTest","","ProfileTest","testDeleteProfileAndLogin","Profil törlése és belépés",""
"passed","Tue May 02 14:09:29 GMT 2023","Tue May 02 14:09:30 GMT 2023","903","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithInvalidUser","Bejelentkezés helytelen adatokkal",""
"passed","Tue May 02 14:09:02 GMT 2023","Tue May 02 14:09:03 GMT 2023","1833","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Tue May 02 14:08:59 GMT 2023","Tue May 02 14:09:01 GMT 2023","2630","","ContactTest","","ContactTest","testFillContact","Üzenetküldés tesztelése",""
"failed","Tue May 02 14:09:20 GMT 2023","Tue May 02 14:09:21 GMT 2023","1303","","ButtonsTest","","ButtonsTest","testHomeButton","Home button test",""
"failed","Tue May 02 14:08:49 GMT 2023","Tue May 02 14:08:50 GMT 2023","1142","","RegistrationTest","","RegistrationTest","testRegistrationEmptyFields","Regisztráció üres mezőkkel","Regisztráció tesztelése a mezők kitöltése nélkül"
"failed","Tue May 02 14:08:50 GMT 2023","Tue May 02 14:08:51 GMT 2023","1174","","RegistrationTest","","RegistrationTest","testRegistrationInvalidData","Regisztráció helytelen adatokkal","Regisztráció tesztelése nem megfelelő formátumú adatokkal"
"passed","Tue May 02 14:09:13 GMT 2023","Tue May 02 14:09:14 GMT 2023","750","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsXAndRefresh","'Terms and conditions' elutasítása majd frissítés","'Terms and conditions' ablak bezárása,majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 14:09:31 GMT 2023","Tue May 02 14:09:32 GMT 2023","1168","","LoginAndLogoutTest","","LoginAndLogoutTest","testLogout","Kijelentkezés",""
"failed","Tue May 02 14:09:03 GMT 2023","Tue May 02 14:09:05 GMT 2023","1421","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Tue May 02 14:08:55 GMT 2023","Tue May 02 14:08:56 GMT 2023","1404","","AboutTest","","AboutTest","testSaveTextFromAboutPage","Leírás ellenőrzése",""
